               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075064,            0.031178,                   0,            0.040754,             0.35294,            0.037432,           0.0096787,            0.029864,            0.015072,                   0,              0.0865,              0.0015,              0.0015
                   1,            0.054264,            0.027818,                   0,              0.6684,             0.17647,             0.27721,            0.076564,            0.018026,             0.01186,                   0,            0.072049,           0.0030489,           0.0030489
                   2,            0.042116,            0.026242,                   0,             0.24988,             0.41176,             0.34178,             0.17237,            0.012395,           0.0095434,                   0,            0.057545,           0.0045449,           0.0045449
                   3,            0.043865,            0.022952,                   0,             0.20873,             0.52941,             0.30895,             0.17944,            0.013388,           0.0071824,                   0,            0.042988,           0.0059881,           0.0059881
                   4,            0.038613,            0.019912,                   0,             0.51033,             0.52941,             0.54381,             0.36105,            0.018384,           0.0067688,                   0,            0.028379,           0.0073786,           0.0073786
                   5,            0.034586,            0.019547,                   0,             0.64031,             0.76471,             0.68254,             0.40032,            0.012103,           0.0053894,                   0,            0.013716,           0.0087163,           0.0087163
                   6,            0.032103,            0.017617,                   0,             0.51613,             0.81593,             0.62433,             0.47242,            0.017243,           0.0050682,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.035779,            0.016963,                   0,             0.40446,             0.76471,             0.54302,             0.35476,             0.01567,           0.0064462,                   0,             0.00901,             0.00901,             0.00901
                   8,            0.028518,            0.015555,                   0,             0.59478,             0.70588,             0.69251,              0.4766,            0.012724,           0.0054626,                   0,            0.008845,            0.008845,            0.008845
                   9,            0.029867,            0.015292,                   0,             0.48743,             0.64706,             0.43391,              0.2344,            0.016789,           0.0068254,                   0,             0.00868,             0.00868,             0.00868
                  10,            0.026355,            0.014113,                   0,             0.52714,             0.64706,             0.56847,             0.35455,            0.013184,           0.0050578,                   0,            0.008515,            0.008515,            0.008515
