               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079215,            0.032238,                   0,           0.0014553,                 0.4,            0.041458,           0.0090777,            0.041956,            0.018611,                   0,              0.0937,              0.0007,              0.0007
                   1,            0.080793,            0.030033,                   0,           0.0017778,                 0.4,            0.044018,            0.025109,            0.037042,               0.015,                   0,            0.086426,           0.0014257,           0.0014257
                   2,            0.059233,            0.028538,                   0,            0.016022,                 0.6,            0.073536,            0.051976,            0.027508,            0.014125,                   0,            0.079072,           0.0020723,           0.0020723
                   3,            0.052725,            0.027479,                   0,           0.0087551,                   1,             0.12395,            0.060678,            0.019648,            0.012742,                   0,             0.07164,           0.0026396,           0.0026396
                   4,            0.045668,            0.027189,                   0,             0.10406,                 0.8,              0.3801,             0.24097,            0.017581,            0.010648,                   0,            0.064128,           0.0031278,           0.0031278
                   5,            0.040437,            0.026365,                   0,             0.87034,                 0.4,             0.54875,             0.43607,            0.017584,           0.0096323,                   0,            0.056537,           0.0035367,           0.0035367
                   6,            0.038265,            0.024206,                   0,             0.62723,                 0.8,             0.86611,             0.47297,            0.016011,           0.0089002,                   0,            0.048867,           0.0038665,           0.0038665
                   7,            0.037969,            0.023887,                   0,             0.74933,                 0.4,             0.57595,             0.20672,            0.015606,           0.0088048,                   0,            0.041117,           0.0041171,           0.0041171
                   8,            0.035534,            0.022827,                   0,             0.83253,                 0.2,             0.37738,             0.20799,            0.014125,           0.0081966,                   0,            0.033288,           0.0042884,           0.0042884
                   9,            0.033716,            0.021384,                   0,             0.38021,                 0.6,             0.42453,             0.26386,            0.014082,           0.0077039,                   0,            0.025381,           0.0043806,           0.0043806
                  10,            0.033122,            0.021325,                   0,             0.53261,                 0.4,              0.3833,             0.20768,            0.012733,           0.0097593,                   0,            0.017394,           0.0043935,           0.0043935
                  11,             0.03151,            0.020383,                   0,             0.48703,                 0.4,             0.46449,             0.31156,           0.0096367,           0.0086184,                   0,           0.0093273,           0.0043273,           0.0043273
                  12,            0.030849,            0.019979,                   0,             0.37674,                   1,             0.50269,             0.35668,           0.0099117,           0.0071676,                   0,             0.00406,             0.00406,             0.00406
                  13,            0.029821,             0.01828,                   0,             0.45989,                 0.8,             0.64929,             0.40406,            0.010889,           0.0065516,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.026778,            0.018199,                   0,             0.73011,                   1,               0.895,              0.5289,           0.0099623,           0.0064943,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.038351,             0.01758,                   0,             0.63811,                 0.8,             0.80591,             0.49293,            0.011819,           0.0066066,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.024068,            0.015892,                   0,              0.7113,                 0.6,             0.72682,               0.511,            0.011583,           0.0060199,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.024696,            0.016247,                   0,              0.7474,                 0.8,                0.88,             0.64038,            0.009482,            0.005561,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.029233,              0.0167,                   0,             0.98296,                 0.8,             0.96167,             0.72473,           0.0079951,           0.0059137,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.027131,            0.015983,                   0,             0.98314,                 0.8,             0.96167,             0.66925,           0.0096861,           0.0059633,                   0,             0.00109,             0.00109,             0.00109
